"","logFC","logCPM","PValue","FDR"
"Potri.016G097000",0.435367211256905,6.96434475193852,0.169361585440892,0.25753608473723
"Potri.006G187800",0.407232082323423,5.63627431881631,0.169426115236357,0.257567191550022
"Potri.011G022400",0.474176188010451,7.22090298854806,0.16944859681818,0.257567191550022
"Potri.016G028900",-0.512328283309403,5.15193492413439,0.169732841703621,0.257928846324861
"Potri.014G101000",-0.45144743535954,7.3504592861021,0.169753170953339,0.257928846324861
"Potri.006G246800",0.395439968930715,5.77963063183219,0.169955434025719,0.258185487607275
"Potri.014G043800",-0.406342866861667,5.63009895069666,0.170229735676485,0.258551443119308
"Potri.004G049300",-0.426054801636088,6.55751743821543,0.170462842605544,0.258854699189113
"Potri.005G125600",0.409493695041318,5.49501041420368,0.17067229716115,0.259121926250941
"Potri.001G329400",-0.450508559872804,7.6246904699015,0.171030219407325,0.259614414240576
"Potri.001G162900",-0.432430918929645,6.71983518071594,0.17106780830677,0.259620556136157
"Potri.006G258300",0.450013255184092,5.81822207583112,0.171187799779757,0.259751729130625
"Potri.006G216400",0.43156332372533,5.58563025012279,0.171264293675907,0.259816862612999
"Potri.007G025800",-0.466181081096154,5.69799483929549,0.171560803492494,0.260215680782266
"Potri.018G028200",-0.428372605112535,5.47337258049965,0.171866805306838,0.26062873688772
"Potri.002G016200",-0.622387987652143,7.18097155214007,0.172007794624311,0.260791445718348
"Potri.006G082400",0.448355347862737,6.56602212989878,0.172119727657746,0.260910045450638
"Potri.005G168600",0.523027737451189,6.70526235461776,0.172548729824657,0.261509138210857
"Potri.019G055000",0.405530256579063,5.84725644830854,0.172634237547875,0.261587509518511
"Potri.014G175200",-0.493897601671863,7.93686258192019,0.172997176674399,0.262086151391632
"Potri.014G068200",-0.522107373510278,8.5354777861139,0.173068393609812,0.262126232238613
"Potri.005G206600",-0.410910166771222,5.91982496014911,0.173091366016996,0.262126232238613
"Potri.017G135800",-0.546410159292425,6.38773418592229,0.173131824613761,0.262136213323653
